source,raw_text
github_scipy,RFC: linalg: array api support for `scipy.linalg` functions which are more fully featured versions of functions in the array API linear algebra extensoin
github_scipy,MAINT: optimize: minpack: boolean types via `stdbool.h`?
github_scipy,BUG: optimize.brentq: questionable results
github_scipy,ENH: optimize: Implement ModAB Root Finding method
github_scipy,BUG: scipy.stats.gengamma.logpdf ValueError when c < 0 and 0 in x
github_scipy,MAINT: Remove old files?
github_scipy,"BUG: data race in the cython code, generated for the fused function when calling the `CubicSpline` under free threading"
github_scipy,BUG: `scipy.special.betainc` returns NaN in unexpected cases after 1.17.0 upgrade
github_scipy,ENH: sparse.linalg.LinearOperator: empty batch support
github_scipy,DEV: utilise `default-environment` field for Pixi tasks
github_scipy,BUG?: median_abs_deviation(Int64) fails on <NA> input
github_scipy,BUG: spatial.transform.Rotation.from_mrp: leaked Cython memoryview
github_scipy,BUG: Instability in exponnorm for very small K
github_scipy,BUG: ndimage.map_coordinates: accuracy drops significantly for multiple channel images and `reflect` mode
github_scipy,ks_2samp outputs does not allow to easily access statistic_location and statistic_sign
github_scipy,`TestDifferentialEvolutionSolver` failures in CI
github_scipy,BUG: linalg.svd: break regarding C/F-contiguity
github_scipy,BUG: `scipy.stats.poisson.ppf` becomes 5x slower in `1.17.0` than `1.16.3`
github_scipy,ENH: Feature request: support higher-order (up to quartic) smoothing splines in make_smoothing_spline for stable second-derivative estimation
github_scipy,DOC: Rotation.apply(vectors) is not equivalent to Rotation.as_matrix() @ vectors
github_scipy,BUG: scipy.io._fast_matrix_market fails on Windows when temp path contains non-ASCII characters
github_scipy,BUG: signal.savgol_filter yields wrong result when window length is even
github_scipy,ENH: sparse.linalg.LinearOperator: initialise with `matmat` but no `matvec`
github_scipy,DOC: Coefficient of the RK5(4)7M method of solve_ivp
github_scipy,BUG: `linalg.sqrtm` does not issue warning on sigularity at times
github_scipy,RFC: make dtype handling uniform across `scipy.linalg`
github_scipy,BUG: ndimage.label does not raise exception when output cannot store largest label
github_scipy,BUG: remez hilbert segfault
github_scipy,TST: stats: test_qmc.py::TestPoisson::test_fill_space fails inconconsistently on Accelerate
github_scipy,DOC: single or double backticks for function parameters?
github_scipy,TASK:linalg: Switch to ?trsyl3 in linalg.sqrtm when LAPACK 3.11 is safe to assume
github_scipy,DOC: stats: erratum in the formula of Negative Hypergeometric Distribution
github_scipy,`scipy.linalg`: low-level batch support vs `numpy.linalg`
github_scipy,`scipy-doctest` dependency missing in `pyproject.toml` and `environment.yml`
github_scipy,BUG: mannwhitneyu returns a statistic that is insensitive of the value of 'alternative'
github_scipy,ENH: signal: O(n^2) list modifications in _identify_ridge_lines can be reduced to O(n)
github_scipy,BUG: optimize: residuals may be uninitalized in trlib_eigen_inverse()
github_scipy,BUG: sparse.linalg.spsolve: Segmentation Fault in matrix computation
github_scipy,BUG: Severe performance regression (~6x slowdown) in scipy.linalg on free-threaded Python 3.13t due to lock contention
github_scipy,ENH: stats: implement _sf for skewnorm to improve tail precision
github_scipy,BUG: _quat become a MemoryView of 'ndarray' object after applying pow(1)
github_scipy,BUG: linalg/blas.py:230: No module named 'scipy.__config__'
github_scipy,ENH: Expose `rv_continuous_frozen` and `rv_discrete_frozen` as public API for static typing
github_scipy,BUG: optimize.ridder: Wrong implementation Ridders algorithm
github_scipy,BUG: optimize.minimize: `trust-constr` minimization not enforcing constraint
github_scipy,BUG: scipy.linalg.inv gives wrong results
github_scipy,BUG: signal._peak_finding._identify_ridge_lines: lines not sorted by row number despite docstring
github_scipy,DOC?: gotcha with functions that are not functionally pure w/ `jax_jit=True`
github_scipy,DEV: how to run `XPBenchmark`s?
github_scipy,BUG: Regression in 1.17.0: generate_f2py mod is called by the wrong interpreter
github_scipy,BUG: integrate.dop: C dop implementation not calculating max initial step correctly
github_scipy,BUG: sparse.linalg.funm_multiply_krylov: does not work with `LinearOperator`
github_scipy,BUG: scipy.signal.zpk2tf yield incorrect results with complex-valued k and multi-dim z
github_scipy,BUG: scipy.special.sph_harm_y returns incorrect values
github_scipy,BUG: `scipy.signal.zpk2tf` yield incorrect results with complex/non-integer `k` and multi-dim `z`
github_scipy,BUG: meson.build / meson.get_compiler('c') fails to properly detect a valid C compiler
github_scipy,BUG: RigidTransform.from_matrix doesn't allow read-only arrays
github_scipy,DOC: Adding `numpydoc_validation_checks` to Sphinx build process
github_scipy,BUG: `sparse.linalg.expm` incorrect for some inputs since 1.17.0
github_scipy,No documentation released for 1.16.3
github_scipy,BUG: calculation of inverse is wrong in scipy 1.17.0
github_scipy,BUG: `sparse.linalg.eigs` results differ in`1.17.0`
github_scipy,BUG: linalg solve behavior change breaking downstream tests
github_scipy,BUG: spatial: `Rotation.from_quat`: fails with read-only `np` array in 1.17.0
github_scipy,DOC: choice of docstring validation rules and tools
github_scipy,DOC: `format` property of `sparray` classes missing in doc
github_scipy,BUG: linalg.solve: `overwrite_b=True` ignored in 1.17.0
github_scipy,"DOC:Raw URL formatting & missing mobile advisory in ""JupyterLite"" section"
github_scipy,ENH: linalg: unify memory copying strategies in C implementations
github_scipy,BUG: sparse: Sparse array slicing (CSC Matrix) seemingly initializes dense arrays
github_scipy,DOC: `make dist` fails because of missing marray
github_scipy,DEP/MAINT: tidying public API tracker
github_scipy,"DOC: stats.distributions: missing hyperlink in ""API definition"" toc"
github_scipy,"DOC: optimize.elementwise: missing from ""API definition"" toc"
github_scipy,Test failures with recent 0.3.30-dev OpenBLAS builds
github_scipy,BUG: sparse.linalg.minres: residual increases when given more iterations for low rtol values
github_scipy,DOC: optimize.milp missing mip_rel_gap value
github_scipy,DOC: optimize: parameters not being added correctly for some functions
github_scipy,BUG: sparse.linalg.bicg: returns a function when breakdown case is detected
github_scipy,ENH: Potential performance improvement in linprog (HiGHS) bound processing
github_scipy,BUG: signal: fftconvolve gives the wrong answer for 2D arrays
github_scipy,DOC: signal: _calc_oa_lens describes in2_step as size of step for the *first* array
github_scipy,BUG: `signal.csd`: inconsistent return dtype
github_scipy,BUG: numerical instability in interp1d linear interpolation
github_scipy,"DOC: The return value in the function bc(ya, yb) in integrate.solve_bvp"
github_scipy,"BUG: io.readsav: typo ""IDENTIFICATON"""
github_scipy,DEV/DOC: document `xp.result_type` and `xp.promote` dtype behavior
github_scipy,DOC: linalg: incorrect comparison to `np.linalg`
